GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.auth,Gebruiker,13,68,0,2,5,15,4,5,4,4
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.auth,Groep,7,22,0,0,3,8,2,5,2,5
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadProces,138,7,0,0,59,4,38,2,38,2
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,Bericht.STATUS,0,104,0,0,0,2,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,AfgifteNummerScannerProces,77,3,6,0,14,1,9,1,6,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BRKScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,Bericht,96,11,0,0,41,6,27,3,27,3
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BGTLightOphaalProces,84,3,6,0,17,1,9,1,6,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,AutomatischProces,28,61,1,3,13,19,9,10,8,9
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,TopNLScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BerichtTransformatieProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BerichtstatusRapportProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,WebMirrorBAGScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadProces.STATUS,0,104,0,0,0,2,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BGTLightScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,MailRapportageProces,24,106,5,7,5,20,5,8,0,7
